modality,sweep,method,strategy,old_n_points,old_n1,old_n10,old_mean,new_n_points,new_n1,new_n10,new_mean,delta_mean,new_drop_abs,new_drop_pct
camera,drop20,baseline,bounds,10,0.19880495592300104,0.08284125799176881,0.10570393828510963,10,0.20531975756711401,0.08331130284900792,0.10606466825273453,0.00036072996762490095,-0.12200845471810609,-59.42363081069999
camera,drop20,cbm,best,10,0.2082156110288665,0.08457024377223693,0.10755938386292374,10,0.05351499604542925,0.05233972188782385,0.05253829060195323,-0.05502109326097051,-0.0011752741576054049,-2.19615854331318
camera,drop20,cbm,stable,10,0.2082156110288665,0.08457024377223693,0.10755938386292374,10,0.06756632254494598,0.07372683519551985,0.06753426067162932,-0.04002512319129442,0.006160512650573879,9.117726729134663
camera,drop20,freealign,best,10,0.2082156110288665,0.08457024377223693,0.10755938386292374,10,0.17578203217905367,0.08102519615022379,0.10106299149291284,-0.0064963923700109005,-0.09475683602882988,-53.905871296509666
camera,drop20,freealign,stable,10,0.2082156110288665,0.08457024377223693,0.10755938386292374,10,0.09565427961958402,0.06643294467224377,0.06941067923294322,-0.03814870462998052,-0.02922133494734025,-30.54890493509874
camera,drop20,oracle,bounds,10,0.30199419236216696,0.30199419236216696,0.3019941923621669,10,0.30201555537183283,0.30201555537183283,0.30201555537183283,2.1363009665931187e-05,0.0,0.0
camera,drop20,single,bounds,1,0.1488898840500466,0.1488898840500466,0.1488898840500466,1,0.14886497964439532,0.14886497964439532,0.14886497964439532,-2.4904405651282602e-05,0.0,0.0
camera,drop20,v2xregpp,best,10,0.2082156110288665,0.08457024377223693,0.10755938386292374,10,0.17431932623494034,0.09508898913847874,0.11158194642967263,0.004022562566748891,-0.0792303370964616,-45.45126395777726
camera,drop20,v2xregpp,stable,10,0.2082156110288665,0.08457024377223693,0.10755938386292374,10,0.08709553402072022,0.0748060122125729,0.07264307449181492,-0.03491630937110882,-0.012289521808147325,-14.110392623832608
camera,drop20,vips,best,10,0.2082156110288665,0.08457024377223693,0.10755938386292374,10,0.1176187971906392,0.05649979583363952,0.06948585310119162,-0.038073530761732116,-0.06111900135699968,-51.96363405921982
camera,drop20,vips,stable,10,0.2082156110288665,0.08457024377223693,0.10755938386292374,10,0.06128393163704431,0.07563923804082176,0.06675042651031847,-0.04080895735260527,0.014355306403777447,23.42425823590615
camera,noise10,baseline,bounds,10,0.20777490746336968,0.08214576321490587,0.10614565756553913,10,0.20777356892332394,0.08242653925902238,0.106111861436553,-3.3796128986129936e-05,-0.12534702966430156,-60.328669480842
camera,noise10,cbm,best,10,0.20598793572865717,0.08376856581983783,0.10667030876995254,10,0.05329970827307659,0.05227458297940163,0.05254775557705245,-0.05412255319290009,-0.001025125293674961,-1.923322522560194
camera,noise10,cbm,stable,10,0.20598793572865717,0.08376856581983783,0.10667030876995254,10,0.06617532899028383,0.07934118484553443,0.07195655157526756,-0.034713757194684974,0.013165855855250597,19.89541428223752
camera,noise10,freealign,best,10,0.20598793572865717,0.08376856581983783,0.10667030876995254,10,0.1785191513341066,0.07954636455130486,0.09866028089296816,-0.008010027876984377,-0.09897278678280173,-55.44099108872064
camera,noise10,freealign,stable,10,0.20598793572865717,0.08376856581983783,0.10667030876995254,10,0.09885498544118024,0.07026141973166747,0.07315562289505392,-0.033514685874898614,-0.02859356570951277,-28.924758404345972
camera,noise10,oracle,bounds,10,0.30199419236216696,0.30199419236216696,0.3019941923621669,10,0.30201555537183283,0.30201555537183283,0.30201555537183283,2.1363009665931187e-05,0.0,0.0
camera,noise10,single,bounds,1,0.1488898840500466,0.1488898840500466,0.1488898840500466,1,0.148864915623937,0.148864915623937,0.148864915623937,-2.4968426109606146e-05,0.0,0.0
camera,noise10,v2xregpp,best,10,0.20598793572865717,0.08376856581983783,0.10667030876995254,10,0.17748291330425026,0.09407582223941853,0.11102702421336368,0.004356715443411138,-0.08340709106483173,-46.99443428779594
camera,noise10,v2xregpp,stable,10,0.20598793572865717,0.08376856581983783,0.10667030876995254,10,0.08758154097078844,0.07114497963649527,0.07265597330628926,-0.03401433546366328,-0.016436561334293165,-18.76715247540043
camera,noise10,vips,best,10,0.20598793572865717,0.08376856581983783,0.10667030876995254,10,0.1218880353913805,0.05663156600917183,0.07008871010848239,-0.03658159866147015,-0.06525646938220866,-53.538043477910854
camera,noise10,vips,stable,10,0.20598793572865717,0.08376856581983783,0.10667030876995254,10,0.06440751649205917,0.07275179704697467,0.06514704588694928,-0.04152326288300326,0.008344280554915498,12.955445279347586
lidar,drop20,baseline,bounds,10,0.2744407703917875,0.2743952331492058,0.2745287176223779,10,0.5703476160636685,0.4194896528335491,0.42971641768425617,0.15518770006187826,-0.15085796323011935,-26.45017862462301
lidar,drop20,cbm,best,10,0.7757610711177026,0.7757579747035008,0.7758179026119777,10,0.4393372099265494,0.427268946288387,0.4285829371636061,-0.34723496544837157,-0.01206826363816238,-2.7469249964463547
lidar,drop20,cbm,stable,10,0.7668235932344843,0.7667693004011982,0.7668247219017121,10,0.44093698075998194,0.49525347796007974,0.46401258496478703,-0.3028121369369251,0.05431649720009779,12.318426344390524
lidar,drop20,freealign,best,10,0.7794195867714344,0.7794767892061328,0.7793837775125835,10,0.8822185063488611,0.8391552955348216,0.8426354687060467,0.06325169119346319,-0.04306321081403952,-4.881240928878312
lidar,drop20,freealign,stable,10,0.7944913645725095,0.7945138978349128,0.7944843915790091,10,0.7160268923211405,0.4601849564259584,0.48687425326308675,-0.3076101383159223,-0.25584193589518206,-35.73077193592836
lidar,drop20,oracle,bounds,10,0.9594371363330065,0.9594116357197401,0.9593972016569323,10,0.9594136017774992,0.9593478992760406,0.9593756811799891,-2.152047694325976e-05,-6.57025014586532e-05,-0.006848193660891049
lidar,drop20,single,bounds,1,0.9066758613246433,0.9066758613246433,0.9066758613246433,1,0.9067064406904302,0.9067064406904302,0.9067064406904302,3.057936578687581e-05,0.0,0.0
lidar,drop20,v2xregpp,best,10,0.7735717569292736,0.7733919686130039,0.7735305303932541,10,0.9414544293432554,0.9321793499470511,0.9344632494163285,0.16093271902307438,-0.009275079396204311,-0.985186229637739
lidar,drop20,v2xregpp,stable,10,0.7934776971112222,0.7935604064190603,0.7934979129988764,10,0.7386482203441996,0.4531665618239439,0.48190591398550253,-0.31159199901337387,-0.28548165852025575,-38.64920413498395
lidar,drop20,vips,best,10,0.7821195144393898,0.7823263893367319,0.7822297990686585,10,0.5456479772557608,0.41778401554079425,0.4290161190174241,-0.35321368005123444,-0.1278639617149665,-23.433416239905352
lidar,drop20,vips,stable,10,0.7558607381251935,0.7558444926185208,0.7558548417843168,10,0.5274900203051199,0.5277625412115166,0.5214842744647112,-0.2343705673196056,0.00027252090639662274,0.05166370848854856
lidar,noise10,baseline,bounds,10,0.2746738404946769,0.27441355537694156,0.2745200755196081,10,0.6042018504835861,0.4159079566892261,0.4314582203825884,0.1569381448629803,-0.18829389379436,-31.164071020910463
lidar,noise10,cbm,best,10,0.7758385410563774,0.7758627240730152,0.7758334987649024,10,0.44469196192232663,0.4271764067354644,0.42979272979858674,-0.34604076896631564,-0.01751555518686221,-3.938806339369276
lidar,noise10,cbm,stable,10,0.7668857623865593,0.7669282875895489,0.7668424656627739,10,0.44703167727065246,0.5039909513958634,0.4720185719535787,-0.2948238937091952,0.0569592741252109,12.7416639628259
lidar,noise10,freealign,best,10,0.779442807381569,0.7794972118501414,0.7793743521174251,10,0.8853293731990827,0.836708155197546,0.8416428643531424,0.06226851223571728,-0.048621218001536626,-5.491879008356729
lidar,noise10,freealign,stable,10,0.7945853375788123,0.7945353705385045,0.7945012770559979,10,0.7239719637286748,0.47368480355141757,0.48911487759588745,-0.3053863994601105,-0.2502871601772572,-34.571388495239866
lidar,noise10,oracle,bounds,10,0.9594415279094867,0.9593749734335334,0.959395390358425,10,0.9593852435215066,0.9594173769719029,0.9593809031018183,-1.4487256606687815e-05,3.2133450396321095e-05,0.0033493792627425126
lidar,noise10,single,bounds,1,0.9066733764482868,0.9066733764482868,0.9066733764482868,1,0.9066735477122027,0.9066735477122027,0.9066735477122027,1.7126391582689138e-07,0.0,0.0
lidar,noise10,v2xregpp,best,10,0.773589908148305,0.7735514819694324,0.7735676354683402,10,0.9417756995438228,0.9334854340162263,0.9347843905904092,0.161216755122069,-0.008290265527596485,-0.8802802548008112
lidar,noise10,v2xregpp,stable,10,0.7934693177079788,0.7934323253112744,0.793472999731902,10,0.7421779852108423,0.47046330527640357,0.4898259048309894,-0.3036470949009126,-0.27171467993443876,-36.61044727124969
lidar,noise10,vips,best,10,0.7822902992883554,0.7822157083700767,0.7822508518020888,10,0.5614392643488079,0.4201398946669577,0.4319204335825383,-0.35033041821955047,-0.14129936968185014,-25.1673473257589
lidar,noise10,vips,stable,10,0.7558056842031406,0.7558652791528034,0.7558604758455022,10,0.5213035789812667,0.524003085027519,0.5147324960280889,-0.2411279798174133,0.0026995060462523535,0.5178376199771615
